所属区域,小区名称,价格,房屋面积,户型
"精选          /
海淀-中关村-航天社区
/
        65.90㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （14层）",整租·航天社区 2室1厅 南,10460 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-东大桥-世界城
/
        55.48㎡
        /北        /
          1室0厅1卫        
/
          高楼层                        （31层）",整租·世界城 1室0厅 北,10000 元/月,,"近地铁
精装
集中供暖
随时看房"
"昌平-回龙观-紫晶七星广场
/
        72.40㎡
        /南        /
          2房间1卫        
/
          地下室                        （5层）",整租·紫晶七星广场 2房间 南,8500 元/月,,"近地铁
精装"
"丰台-马家堡-未来假日
/
        262.78㎡
        /南 北        /
          3室2厅3卫        
/
          地下室                        （3层）",整租·未来假日 3室2厅 南/北,25000 元/月,,"近地铁
精装"
"丰台-方庄-时代芳群
/
        256.00㎡
        /南 北        /
          4室2厅2卫        
/
          低楼层                        （30层）",整租·时代芳群 4室2厅 南/北,23000 元/月,,"近地铁
精装
双卫生间"
"怀柔-怀柔-于家园三区
/
        175.99㎡
        /南 北        /
          5室2厅4卫        
/
          低楼层                        （2层）",整租·于家园三区 5室2厅 南/北,15000 元/月,,"精装
集中供暖"
"精选          /
朝阳-望京-银领国际
/
        79.40㎡
        /北        /
          1室1厅1卫        
/
          高楼层                        （26层）",整租·银领国际 1室1厅 北,8290 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
丰台-青塔-青塔芳园
/
        56.46㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·青塔芳园 1室1厅 南,5130 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-小红门-江南山水
/
        296.00㎡
        /南 北        /
          5室2厅5卫        
/
          低楼层                        （3层）",整租·江南山水 5室2厅 南/北,26000 元/月,,集中供暖
"朝阳-酒仙桥-和乔丽晶一期
/
        61.74㎡
        /东 北        /
          1室1厅1卫        
/
          低楼层                        （10层）",整租·和乔丽晶一期 1室1厅 东/北,9800 元/月,,"近地铁
精装
集中供暖"
"西城-右安门内-未来家园
/
        90.59㎡
        /西南        /
          2室1厅1卫        
/
          高楼层                        （24层）",整租·未来家园 2室1厅 西南,11000 元/月,,"精装
集中供暖"
"大兴-旧宫-富力盛悦居
/
        99.00㎡
        /东        /
          3房间2卫        
/
          中楼层                        （18层）",整租·富力盛悦居 3房间 东,7200 元/月,,"近地铁
精装
集中供暖
双卫生间
随时看房"
"昌平-北七家-金色漫香苑
/
        189.00㎡
        /南 北        /
          5室2厅2卫        
/
          中楼层                        （9层）",整租·金色漫香苑 5室2厅 南/北,14900 元/月,,"精装
集中供暖
双卫生间
随时看房"
"精选          /
朝阳-双井-苹果社区南区
/
        60.21㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （23层）",整租·苹果社区南区 1室1厅 北,8390 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"顺义-后沙峪-春晖园随园
/
        158.00㎡
        /南 北        /
          6房间3卫        
/
          中楼层                        （4层）",整租·春晖园随园 6房间 复式 南/北,18000 元/月,,"精装
集中供暖"
"通州-通州其它-首开万科台湖新城V公馆
/
        60.00㎡
        /南 北        /
          3房间1卫        
/
          低楼层                        （10层）",整租·首开万科台湖新城V公馆 3房间 南/北,4300 元/月,,"精装
集中供暖
随时看房"
"怀柔-怀柔-龍祥小區
/
        163.80㎡
        /南 北        /
          4室2厅2卫        
/
          高楼层                        （6层）",整租·龍祥小區 4室2厅 复式 南/北,4500 元/月,,"精装
集中供暖
双卫生间"
"海淀-小西天-新外大街21号院
/
        94.70㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （6层）",整租·新外大街21号院 3室1厅 南/北,12800 元/月,,"近地铁
集中供暖
随时看房"
"海淀-白石桥-方圆公寓
/
        118.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （28层）",整租·方圆公寓 1室1厅 北,16000 元/月,,"近地铁
精装
集中供暖"
"朝阳-望京-保利中央公园
/
        148.00㎡
        /南 北        /
          3室2厅3卫        
/
          高楼层                        （15层）",整租·保利中央公园 3室2厅 南/北,24000 元/月,,"近地铁
精装
集中供暖
随时看房"
"朝阳-朝阳门外-日坛国际公寓
/
        108.85㎡
        /东南        /
          2室1厅2卫        
/
          中楼层                        （18层）",整租·日坛国际公寓 2室1厅 东南,14500 元/月,,"集中供暖
双卫生间
随时看房"
"精选          /
朝阳-望京-风格雅园
/
        106.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （14层）",整租·风格雅园 2室1厅 南,11230 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"精选          /
大兴-黄村中-富强西里
/
        55.84㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·富强西里 2室1厅 南,4560 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"丰台-马家堡-左右坊
/
        38.00㎡
        /西        /
          1室0厅1卫        
/
          低楼层                        （16层）",整租·左右坊 1室0厅 西,4500 元/月,,"近地铁
精装
随时看房"
"精选          /
通州-北关-新光大中心
/
        82.92㎡
        /西北        /
          1室1厅1卫        
/
          低楼层                        （41层）",整租·新光大中心 1室1厅 西北,6500 元/月,,"公寓
月租
近地铁
精装"
"精选          /
通州-武夷花园-百合湾
/
        30.47㎡
        /北        /
          1室1厅2卫        
/
          高楼层                        （14层）",整租·百合湾 1室1厅 北,4160 元/月,,"公寓
精装
集中供暖
押一付一
双卫生间
随时看房"
"朝阳-劲松-垂杨柳南里
/
        48.81㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·垂杨柳南里 2室1厅 南/北,6200 元/月,,"近地铁
精装
集中供暖"
"精选          /
朝阳-百子湾-石门新居34号院
/
        84.91㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （28层）",整租·石门新居34号院 2室1厅 南,8290 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"西城-阜成门-阜成门外北街
/
        63.40㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （18层）",整租·阜成门外北街 2室1厅 南/北,9000 元/月,,"近地铁
精装
集中供暖
随时看房"
"精选          /
海淀-上地-宜品上层
/
        57.37㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （9层）",整租·宜品上层 1室1厅 南,6890 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-成寿寺-中海城圣朝菲
/
        182.00㎡
        /南 北        /
          4室2厅2卫        
/
          高楼层                        （8层）",整租·中海城圣朝菲 4室2厅 南/北,13000 元/月,,"近地铁
精装
集中供暖
双卫生间"
"精选          /
石景山-八角-西引力
/
        46.80㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·西引力 1室1厅 北,5390 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-亚运村-金泉时代
/
        85.00㎡
        /南        /
          1室0厅0卫        
/
          中楼层                        （27层）",整租·金泉时代 1室0厅 南,13000 元/月,,"近地铁
精装
集中供暖
随时看房"
"精选          /
丰台-马家堡-7克拉
/
        35.29㎡
        /西        /
          1室1厅1卫        
/
          高楼层                        （13层）",整租·7克拉 1室1厅 西,5130 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
丰台-成寿寺-苇子坑1号院
/
        54.85㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·苇子坑1号院 2室1厅 南,6760 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
朝阳-农展馆-农展南里
/
        60.60㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·农展南里 2室1厅 南,8190 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-知春路-罗庄南里
/
        57.40㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·罗庄南里 2室1厅 南,8730 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-田村-自由度
/
        97.00㎡
        /西南        /
          2室2厅1卫        
/
          中楼层                        （8层）",整租·自由度 2室2厅 西南,7500 元/月,,"官方核验
近地铁
精装
随时看房"
"海淀-田村-中国房子
/
        132.00㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （9层）",整租·中国房子 3室2厅 南/北,14000 元/月,,"官方核验
新上
近地铁
精装
双卫生间"
"海淀-田村-永达逸家
/
        58.60㎡
        /西        /
          1室0厅1卫        
/
          中楼层                        （15层）",整租·永达逸家 1室0厅 西,5600 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"精选          /
海淀-马连洼-圆明园西路3号院
/
        64.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·圆明园西路3号院 2室1厅 南,8290 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-田村-圣华里
/
        104.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （18层）",整租·圣华里 2室1厅 南/北,7000 元/月,,"官方核验
近地铁
精装
集中供暖"
"海淀-田村-田村48号院
/
        57.20㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·田村48号院 2室1厅 南/北,5500 元/月,,"官方核验
业主自荐
新上
近地铁
精装
集中供暖
随时看房"
"海淀-田村-兰德华庭
/
        98.75㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （13层）",整租·兰德华庭 2室1厅 南/北,8800 元/月,,"官方核验
近地铁
精装
集中供暖"
"海淀-田村-西山洋房
/
        46.00㎡
        /东 南        /
          2室1厅1卫        
/
          中楼层                        （4层）",整租·西山洋房 2室1厅 东/南,5600 元/月,,"近地铁
精装
集中供暖"
"海淀-田村-兰德华庭
/
        101.31㎡
        /东南        /
          2室1厅1卫        
/
          高楼层                        （12层）",整租·兰德华庭 2室1厅 东南,8800 元/月,,"官方核验
新上
近地铁
精装
集中供暖"
"精选          /
朝阳-管庄-华龙美树
/
        36.78㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （19层）",整租·华龙美树 1室1厅 北,4960 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"海淀-四季青-京投银泰琨御府
/
        143.00㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （6层）",整租·京投银泰琨御府 3室2厅 南/北,37000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间"
"精选          /
西城-马连道-茶贸国际中心
/
        35.70㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （20层）",整租·茶贸国际中心 1室1厅 东,4660 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-四季青-望塔园
/
        118.00㎡
        /东南        /
          2室1厅1卫        
/
          低楼层                        （17层）",整租·望塔园 2室1厅 东南,11000 元/月,,"官方核验
近地铁
精装
随时看房"
"精选          /
亦庄开发区-亦庄-通泰国际公馆
/
        53.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （14层）",整租·通泰国际公馆 1室1厅 南,5290 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-四季青-金庄1号院
/
        87.00㎡
        /南 北        /
          3室2厅1卫        
/
          高楼层                        （6层）",整租·金庄1号院 3室2厅 南/北,8300 元/月,,"官方核验
精装
集中供暖
随时看房"
"海淀-四季青-望福园
/
        120.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （6层）",整租·望福园 3室1厅 南/北,12000 元/月,,"官方核验
精装"
"海淀-四季青-西荣阁
/
        49.00㎡
        /北        /
          1房间1卫        
/
          中楼层                        （13层）",整租·西荣阁 1房间 北,5400 元/月,,"官方核验
新上
精装
集中供暖
随时看房"
"西城-木樨地-铁四区
/
        39.80㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·铁四区 1室1厅 南,4500 元/月,,"官方核验
业主自荐
新上
集中供暖
随时看房"
"精选          /
丰台-青塔-蔚园
/
        58.00㎡
        /东        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·蔚园 2室1厅 东,5430 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"西城-木樨地-国务院宿舍
/
        159.50㎡
        /南 北        /
          4室1厅2卫        
/
          中楼层                        （4层）",整租·国务院宿舍 4室1厅 南/北,28900 元/月,,"官方核验
新上
近地铁
精装
集中供暖
双卫生间"
"西城-木樨地-木樨地南里1号院
/
        70.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·木樨地南里1号院 2室1厅 南/北,8500 元/月,,"官方核验
近地铁
精装
集中供暖"
"西城-木樨地-莲花池东路甲5号院
/
        49.00㎡
        /东        /
          1室0厅1卫        
/
          中楼层                        （28层）",整租·莲花池东路甲5号院 1室0厅 东,5000 元/月,,"集中供暖
随时看房"
"精选          /
朝阳-工体-工体西里
/
        40.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （7层）",整租·工体西里 1室1厅 南,7060 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"西城-木樨地-西便门东里
/
        76.00㎡
        /东 南        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·西便门东里 2室1厅 东/南,8000 元/月,,"官方核验
近地铁
集中供暖
随时看房"
"西城-木樨地-真武庙二里
/
        54.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （18层）",整租·真武庙二里 1室1厅 南,6800 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"西城-木樨地-莲花池东路甲5号院
/
        53.80㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （6层）",整租·莲花池东路甲5号院 1室1厅 南,5700 元/月,,"官方核验
精装
集中供暖"
"精选          /
海淀-六里桥-盛今佳园
/
        38.68㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （18层）",整租·盛今佳园 2室1厅 南,7030 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"海淀-马连洼-七彩华园
/
        109.00㎡
        /南 北        /
          2室2厅2卫        
/
          高楼层                        （7层）",整租·七彩华园 2室2厅 南/北,10300 元/月,,"近地铁
精装
集中供暖
双卫生间
随时看房"
"西城-六铺炕-德胜置业
/
        198.00㎡
        /南        /
          1室0厅0卫        
/
          低楼层                        （16层）",整租·德胜置业 1室0厅 南,30000 元/月,,集中供暖
"精选          /
西城-马连道-茶贸国际中心
/
        25.24㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （21层）",整租·茶贸国际中心 1室1厅 西,4260 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
东城-和平里-和平里东街15号院
/
        58.95㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （12层）",整租·和平里东街15号院 2室1厅 南,8790 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"丰台-北大地-丰管路甲56号院
/
        120.00㎡
        /南 北        /
          3室1厅2卫        
/
          低楼层                        （24层）",整租·丰管路甲56号院 3室1厅 南/北,8800 元/月,,"近地铁
精装
集中供暖
双卫生间"
"朝阳-CBD-温莎大道
/
        370.00㎡
        /南 北        /
          4室2厅3卫        
/
          高楼层                        （30层）",整租·温莎大道 4室2厅 南/北,49000 元/月,,"精装
集中供暖"
"精选          /
通州-通州其它-紫运南里二区
/
        110.00㎡
        /南        /
          3室1厅1卫        
/
          高楼层                        （21层）",整租·紫运南里二区 3室1厅 南,5999 元/月,,"公寓
月租
近地铁
精装
集中供暖
随时看房"
"精选          /
顺义-后沙峪-国门智慧城
/
        60.38㎡
        /南        /
          3室2厅2卫        
/
          低楼层                        （9层）",整租·国门智慧城 3室2厅 LOFT 南,5000 元/月,,"公寓
精装
集中供暖
双卫生间
随时看房"
"西城-月坛-恒华国际商务中心
/
        228.00㎡
        /南        /
          3室1厅1卫        
/
          低楼层                        （19层）",整租·恒华国际商务中心 3室1厅 南,50000 元/月,,集中供暖
"顺义-后沙峪-万科城市花园
/
        294.14㎡
        /南 北        /
          4室2厅3卫        
/
          高楼层                        （11层）",整租·万科城市花园 4室2厅 复式 南/北,16000 元/月,,"精装
集中供暖
随时看房"
"密云-鼓楼街道-宾阳北里
/
        64.27㎡
        /南 北        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·宾阳北里 1室1厅 南/北,1500 元/月,,集中供暖
"海淀-皂君庙-皂君西里
/
        56.70㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·皂君西里 2室1厅 南/北,7500 元/月,,集中供暖
"精选          /
西城-广安门-京铁和园
/
        37.05㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （28层）",整租·京铁和园 1室1厅 东,5590 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
西城-六铺炕-塔院胡同12号院
/
        57.80㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·塔院胡同12号院 2室1厅 南,9490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-燕莎-福景苑
/
        119.15㎡
        /西北        /
          1室2厅1卫        
/
          低楼层                        （26层）",整租·福景苑 1室2厅 西北,16000 元/月,,"近地铁
精装
集中供暖"
"顺义-中央别墅区-翠竹新村
/
        80.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·翠竹新村 2室1厅 南/北,4500 元/月,,"精装
集中供暖"
"海淀-五道口-成府路35号院
/
        47.00㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （5层）",整租·成府路35号院 1室1厅 东,6100 元/月,,"精装
集中供暖"
"海淀-紫竹桥-车公庄西路35号院
/
        48.00㎡
        /南 北        /
          1室1厅1卫        
/
          低楼层                        （6层）",整租·车公庄西路35号院 1室1厅 南/北,5500 元/月,,集中供暖
"精选          /
朝阳-常营-常楹公元自由派
/
        38.16㎡
        /西        /
          1室1厅1卫        
/
          高楼层                        （23层）",整租·常楹公元自由派 1室1厅 西,5060 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
西城-月坛-铁二区
/
        51.10㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （18层）",整租·铁二区 2室1厅 东,9160 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"精选          /
通州-潞苑-华龙小区
/
        80.76㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·华龙小区 1室1厅 南,4130 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"顺义-后沙峪-IDCITY艾迪城
/
        68.00㎡
        /东        /
          5房间2卫        
/
          高楼层                        （9层）",整租·IDCITY艾迪城 5房间 东,9000 元/月,,"精装
集中供暖
双卫生间"
"精选          /
朝阳-望京-悠乐汇
/
        48.95㎡
        /西南        /
          1室1厅1卫        
/
          高楼层                        （18层）",整租·悠乐汇 1室1厅 西南,7860 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-台湖金茂悦
/
        89.13㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·台湖金茂悦 3室1厅 南/北,6500 元/月,,"精装
集中供暖
随时看房"
"精选          /
西城-马甸-新风南里
/
        45.90㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·新风南里 1室1厅 南,7460 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"东城-崇文门-新景家园西区
/
        58.00㎡
        /东        /
          1室1厅1卫        
/
          低楼层                        （16层）",整租·新景家园西区 1室1厅 东,7200 元/月,,"近地铁
精装
随时看房"
"精选          /
通州-武夷花园-京贸国际城
/
        83.25㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·京贸国际城 2室1厅 南,5990 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
丰台-宋家庄-顶秀欣园东苑
/
        60.49㎡
        /东北        /
          2室1厅1卫        
/
          中楼层                        （21层）",整租·顶秀欣园东苑 2室1厅 东北,6390 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"通州-通州其它-阳光城京悦府
/
        300.00㎡
        /南 北        /
          3室1厅2卫        
/
          中楼层                        （4层）",整租·阳光城京悦府 3室1厅 南/北,15500 元/月,,"近地铁
精装
集中供暖
双卫生间
随时看房"
"精选          /
通州-武夷花园-通州富力中心A
/
        143.27㎡
        /南        /
          3室1厅2卫        
/
          低楼层                        （30层）",整租·通州富力中心A 3室1厅 南,11500 元/月,,"公寓
近地铁
精装
集中供暖
双卫生间"
"海淀-知春路-太月园
/
        89.00㎡
        /西南        /
          2室1厅1卫        
/
          中楼层                        （27层）",整租·太月园 2室1厅 西南,13000 元/月,,"近地铁
精装
集中供暖"
"精选          /
朝阳-北苑-华贸城
/
        52.91㎡
        /东        /
          1室1厅1卫        
/
          高楼层                        （17层）",整租·华贸城 1室1厅 东,7020 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"顺义-后沙峪-IDCITY艾迪城
/
        83.93㎡
        /南        /
          4房间2卫        
/
          中楼层                        （9层）",整租·IDCITY艾迪城 4房间 南,9500 元/月,,"精装
集中供暖
双卫生间
随时看房"
"朝阳-芍药居-芍药居甲2号院
/
        65.00㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·芍药居甲2号院 2室1厅 南/北,7200 元/月,,"近地铁
精装
集中供暖
随时看房"
"朝阳-四惠-远洋天地二期
/
        161.00㎡
        /东北        /
          2室2厅2卫        
/
          高楼层                        （26层）",整租·远洋天地二期 2室2厅 东北,18000 元/月,,"近地铁
精装
集中供暖
双卫生间"
"昌平-西三旗-中东路121号院二区
/
        142.00㎡
        /南 西 北        /
          3室1厅2卫        
/
          中楼层                        （18层）",整租·中东路121号院二区 3室1厅 南/西/北,9000 元/月,,"精装
双卫生间"
"西城-马甸-马甸南村
/
        72.00㎡
        /东 西        /
          2室1厅1卫        
/
          中楼层                        （13层）",整租·马甸南村 2室1厅 东/西,9500 元/月,,"近地铁
精装
集中供暖
随时看房"
"朝阳-中央别墅区-龙湖双珑原著
/
        317.00㎡
        /南 北        /
          3室2厅5卫        
/
          低楼层                        （5层）",整租·龙湖双珑原著 3室2厅 复式 南/北,42000 元/月,,精装
"朝阳-双井-富力城D区
/
        137.00㎡
        /南        /
          3室1厅2卫        
/
          低楼层                        （11层）",整租·富力城D区 3室1厅 南,19500 元/月,,"近地铁
精装
集中供暖
双卫生间"
"朝阳-三里屯-幸福三村
/
        57.75㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·幸福三村 2室1厅 南/北,8000 元/月,,"近地铁
集中供暖"
"丰台-大红门-珠江骏景北区
/
        189.00㎡
        /南 北        /
          6室2厅2卫        
/
          高楼层                        （11层）",整租·珠江骏景北区 6室2厅 南/北,20000 元/月,,"近地铁
精装
集中供暖
双卫生间"
"朝阳-望京-东湖湾三期
/
        176.00㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （28层）",整租·东湖湾三期 3室2厅 南/北,26000 元/月,,"近地铁
精装
集中供暖
双卫生间"
"精选          /
房山-良乡-首创紫悦台
/
        40.21㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （15层）",整租·首创紫悦台 1室1厅 南,3560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-亚运村小营-宝石花苑
/
        143.94㎡
        /南 西 西北        /
          3室1厅2卫        
/
          低楼层                        （10层）",整租·宝石花苑 3室1厅 南/西/西北,16000 元/月,,"近地铁
精装
双卫生间"
"海淀-厂洼-厂洼小区
/
        95.00㎡
        /南 北        /
          2室2厅1卫        
/
          高楼层                        （6层）",整租·厂洼小区 2室2厅 南/北,13500 元/月,,"精装
集中供暖"
"精选          /
海淀-田村-西山国际城
/
        28.77㎡
        /西        /
          1室1厅1卫        
/
          高楼层                        （6层）",整租·西山国际城 1室1厅 西,5990 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"石景山-鲁谷-紫御国际
/
        87.00㎡
        /南 北        /
          4房间2卫        
/
          低楼层                        （15层）",整租·紫御国际 4房间 南/北,12000 元/月,,"精装
集中供暖
双卫生间"
"海淀-紫竹桥-豪柏大厦
/
        210.00㎡
        /南 西        /
          4室1厅1卫        
/
          高楼层                        （20层）",整租·豪柏大厦 4室1厅 南/西,26000 元/月,,"近地铁
精装
集中供暖"
"朝阳-太阳宫-红玺台
/
        243.00㎡
        /南 西 北        /
          4室2厅3卫        
/
          中楼层                        （25层）",整租·红玺台 4室2厅 南/西/北,53000 元/月,,"近地铁
精装
集中供暖"
"精选          /
通州-武夷花园-荔景园新区
/
        68.68㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （27层）",整租·荔景园新区 1室1厅 南,4530 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-定福庄-三间房南里4号院
/
        65.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （5层）",整租·三间房南里4号院 2室1厅 南/北,5500 元/月,,"近地铁
精装
集中供暖
随时看房"
"精选          /
东城-永定门-城市亮点
/
        45.00㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （12层）",整租·城市亮点 1室1厅 北,5660 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"丰台-马家堡-7克拉
/
        47.00㎡
        /东        /
          1房间1卫        
/
          低楼层                        （13层）",整租·7克拉 1房间 东,4800 元/月,,"近地铁
精装
集中供暖
随时看房"
"朝阳-东大桥-新城国际
/
        217.00㎡
        /东南 西        /
          4室2厅4卫        
/
          高楼层                        （30层）",整租·新城国际 4室2厅 东南/西,50000 元/月,,"近地铁
精装
集中供暖
随时看房"
"顺义-后沙峪-国门智慧城
/
        80.00㎡
        /南        /
          4房间2卫        
/
          中楼层                        （9层）",整租·国门智慧城 4房间 南,5800 元/月,,"集中供暖
双卫生间"
"朝阳-四惠-远洋天地二期
/
        115.11㎡
        /西北        /
          2室2厅1卫        
/
          高楼层                        （26层）",整租·远洋天地二期 2室2厅 西北,13800 元/月,,"近地铁
精装
集中供暖"
"朝阳-三元桥-凤凰城一期
/
        74.00㎡
        /西北        /
          1室1厅1卫        
/
          低楼层                        （34层）",整租·凤凰城一期 1室1厅 西北,12500 元/月,,"近地铁
精装
集中供暖
随时看房"
"精选          /
大兴-亦庄-金色漫香林二期
/
        90.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （7层）",整租·金色漫香林二期 2室1厅 南,6330 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-国展-左家庄西街5号院
/
        56.00㎡
        /东 西        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·左家庄西街5号院 2室1厅 东/西,8500 元/月,,"精装
集中供暖
随时看房"
"西城-月坛-三里河东路
/
        80.00㎡
        /西        /
          3室1厅1卫        
/
          低楼层                        （6层）",整租·三里河东路 3室1厅 西,12000 元/月,,"精装
集中供暖
随时看房"
"顺义-后沙峪-中粮祥云国际生活区
/
        300.75㎡
        /南 北        /
          4室2厅3卫        
/
          中楼层                        （15层）",整租·中粮祥云国际生活区 4室2厅 南/北,36500 元/月,,"官方核验
精装"
"精选          /
顺义-后沙峪-空港吉祥花园
/
        49.79㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （9层）",整租·空港吉祥花园 1室1厅 南,5630 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"通州-通州北苑-京铁潞园
/
        122.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （28层）",整租·京铁潞园 3室1厅 南/北,7000 元/月,,"官方核验
集中供暖
随时看房"
"朝阳-双桥-乐栋300
/
        65.00㎡
        /西        /
          3房间1卫        
/
          中楼层                        （4层）",整租·乐栋300 3房间 西,5950 元/月,,"官方核验
精装
随时看房"
"西城-金融街-宏汇园小区
/
        65.10㎡
        /东 西        /
          2室1厅1卫        
/
          低楼层                        （7层）",整租·宏汇园小区 2室1厅 东/西,12000 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
