标题,小区名称,价格,面积,户型
整租·白云观 1室1厅 西,西城-木樨地-白云观,7400 元/月,50.60㎡,/
整租·世华龙樾一期西区 2室1厅 南,海淀-清河-世华龙樾一期西区,7100 元/月,77.00㎡,/
整租·月亮城堡 1室1厅 南/北,通州-武夷花园-月亮城堡,5300 元/月,102.00㎡,/
整租·旭辉E天地 2房间 东,精选,3260 元/月,房山-良乡-旭辉E天地,/
整租·华樾北京二期 3室1厅 南/北,朝阳-望京-华樾北京二期,8900 元/月,89.13㎡,/
整租·远见国际公寓 1室1厅 东,精选,6260 元/月,西城-广安门-远见国际公寓,/
整租·彩虹城四区 2房间 西,精选,5230 元/月,丰台-赵公口-彩虹城四区,/
整租·科源小区 2室1厅 南/北,海淀-五道口-科源小区,8500 元/月,60.00㎡,/
整租·远洋天地三期 2室2厅 西,朝阳-四惠-远洋天地三期,10500 元/月,127.83㎡,/
整租·中信新城西区 4室2厅 南/北,大兴-亦庄开发区其它-中信新城西区,17000 元/月,194.00㎡,/
整租·万泉新新家园 1室1厅 西,精选,8030 元/月,海淀-万柳-万泉新新家园,/
整租·芙蓉里 1室1厅 东,精选,7160 元/月,海淀-圆明园-芙蓉里,/
整租·新外大街甲4号院 2室1厅 南/北,西城-马甸-新外大街甲4号院,7800 元/月,53.10㎡,/
整租·润泽庄园 5室2厅 复式 南/北,朝阳-北苑-润泽庄园,25500 元/月,234.00㎡,/
整租·兴隆家园 2室1厅 西,精选,9030 元/月,朝阳-高碑店-兴隆家园,/
整租·和悦华锦 3室1厅 南/北,大兴-亦庄开发区其它-和悦华锦,5400 元/月,89.00㎡,/
整租·金茂北京国际社区 2室1厅 南/北,顺义-顺义其它-金茂北京国际社区,2600 元/月,72.00㎡,/
整租·怡馨家园 2室1厅 东/西,顺义-顺义城-怡馨家园,3900 元/月,90.00㎡,/
整租·公园五号 2室1厅 东南,朝阳-甜水园-公园五号,15000 元/月,114.00㎡,/
整租·绿地中央广场 1室1厅 北,精选,5290 元/月,通州-北关-绿地中央广场,/
整租·金地未未来 2房间 西,顺义-顺义其它-金地未未来,2348 元/月,27.00㎡,/
整租·清和园 2室1厅 西,精选,4760 元/月,大兴-旧宫-清和园,/
整租·万科蓝山 2室1厅 东/西,朝阳-大望路-万科蓝山,15500 元/月,132.00㎡,/
整租·黄亭子小区 2室1厅 南,海淀-北太平庄-黄亭子小区,8500 元/月,53.00㎡,/
整租·锦华园 1室1厅 南/北,大兴-黄村火车站-锦华园,3100 元/月,68.00㎡,/
整租·广安康璟家园 2室2厅 南,大兴-旧宫-广安康璟家园,4600 元/月,89.00㎡,/
整租·清上园 1室1厅 西南,精选,7130 元/月,海淀-安宁庄-清上园,/
整租·贡院西街 1室1厅 南/北,东城-建国门内-贡院西街,7800 元/月,44.51㎡,/
整租·首体家属院 2室1厅 南/北,海淀-知春路-首体家属院,8600 元/月,64.60㎡,/
整租·竹园 2室1厅 南/北,海淀-马连洼-竹园,7200 元/月,63.29㎡,/
整租·红旗家属院 1室1厅 东/西,通州-万达-红旗家属院,3100 元/月,54.58㎡,/
整租·民旺园 2室2厅 东/西,东城-和平里-民旺园,8800 元/月,70.71㎡,/
整租·航天城小区 2室1厅 南/北,海淀-海淀北部新区-航天城小区,6999 元/月,70.24㎡,/
整租·大红罗厂3号院 2室2厅 南/北,西城-西四-大红罗厂3号院,20000 元/月,98.00㎡,/
整租·龙脉温泉 3室1厅 南/北,昌平-昌平其它-龙脉温泉,5800 元/月,123.52㎡,/
整租·佳和宜园 3室1厅 南/北,顺义-马坡-佳和宜园,3500 元/月,91.00㎡,/
整租·小营东路6号院 2室1厅 南,精选,7430 元/月,海淀-清河-小营东路6号院,/
整租·通州富力中心A 2房间 西南,精选,4500 元/月,通州-武夷花园-通州富力中心A,/
整租·东王庄 2室1厅 东/西,海淀-五道口-东王庄,8400 元/月,64.00㎡,/
整租·左家庄北里 2室1厅 东,精选,7630 元/月,朝阳-国展-左家庄北里,/
整租·炫特嘉园二期 1室0厅 北,朝阳-石佛营-炫特嘉园二期,5100 元/月,40.70㎡,/
整租·北京像素南区 1室1厅 北,精选,4790 元/月,朝阳-常营-北京像素南区,/
整租·中关村东路 2室1厅 南,精选,9660 元/月,海淀-双榆树-中关村东路,/
整租·翠微路十四号 2室1厅 东,精选,7660 元/月,海淀-公主坟-翠微路十四号,/
整租·天宝家园 2室1厅 东,精选,6590 元/月,亦庄开发区-亦庄-天宝家园,/
整租·溪城家园 2室1厅 南,昌平-立水桥-溪城家园,6300 元/月,79.80㎡,/
整租·中新佳园一区 3室2厅 西南/北,西城-马连道-中新佳园一区,14000 元/月,132.07㎡,/
整租·雅特住区 1室1厅 北,精选,6790 元/月,朝阳-望京-雅特住区,/
整租·临河悦园5号院  2室1厅 南,顺义-顺义其它-临河悦园5号院,2600 元/月,76.00㎡,/
整租·万科长阳天地5号院 3室1厅 南/北,房山-长阳-万科长阳天地5号院,5300 元/月,94.04㎡,/
整租·轮胎厂宿舍 2室1厅 南/北,海淀-西三旗-轮胎厂宿舍,5300 元/月,58.20㎡,/
整租·玉林东里三区 3室1厅 南/北,丰台-右安门外-玉林东里三区,7500 元/月,64.64㎡,/
整租·开阳里五区 1室1厅 西,丰台-北京南站-开阳里五区,6000 元/月,58.66㎡,/
整租·垂杨柳东里 2室1厅 东,精选,7160 元/月,朝阳-劲松-垂杨柳东里,/
整租·西三环北路105号院 2室1厅 南/北,海淀-定慧寺-西三环北路105号院,9200 元/月,54.00㎡,/
整租·住总正华新国展满庭芳 2室1厅 南,顺义-中央别墅区-住总正华新国展满庭芳,6300 元/月,99.29㎡,/
整租·地藏庵 3室1厅 东/西,西城-月坛-地藏庵,13000 元/月,70.00㎡,/
整租·西坝河东里 2室1厅 南,精选,8990 元/月,朝阳-西坝河-西坝河东里,/
整租·融泽嘉园中路1号院 1室1厅 南,昌平-回龙观-融泽嘉园中路1号院,6000 元/月,63.00㎡,/
整租·天泰新房苑 1室1厅 南/北,朝阳-双桥-天泰新房苑,4700 元/月,63.00㎡,/
整租·前泥洼小区 2室1厅 南,精选,6830 元/月,丰台-丽泽-前泥洼小区,/
整租·砖角楼北里 2室1厅 南/西/北,朝阳-和平里-砖角楼北里,7600 元/月,66.63㎡,/
整租·紫芳园一区 1室1厅 东,丰台-方庄-紫芳园一区,4700 元/月,52.00㎡,/
整租·新里西斯莱公馆 2室1厅 南,精选,6690 元/月,大兴-高米店-新里西斯莱公馆,/
整租·关东店南街 3室1厅 东南,朝阳-东大桥-关东店南街,10800 元/月,79.31㎡,/
整租·竹木厂小区 1室1厅 南,精选,3990 元/月,通州-通州北苑-竹木厂小区,/
整租·枫丹壹号二期 4室2厅 南/北,亦庄开发区-亦庄开发区其它-枫丹壹号二期,35000 元/月,211.00㎡,/
整租·拾景名苑  1室1厅 南,石景山-八角-拾景名苑,3500 元/月,26.00㎡,/
整租·航城广场 2房间 东,顺义-顺义其它-航城广场,2800 元/月,40.57㎡,/
整租·江南山水 2室2厅 东/南/西,朝阳-小红门-江南山水,6500 元/月,99.00㎡,/
整租·国仕汇 3室1厅 南,昌平-回龙观-国仕汇,7500 元/月,114.00㎡,/
整租·温莎大道 3室1厅 东/南/北,朝阳-CBD-温莎大道,43000 元/月,313.00㎡,/
整租·龙腾苑六区 3室1厅 南/北,昌平-回龙观-龙腾苑六区,8800 元/月,142.02㎡,/
整租·清润家园 2室1厅 南,精选,6590 元/月,海淀-清河-清润家园,/
整租·安外东河沿 1室1厅 南/北,东城-安定门-安外东河沿,7000 元/月,50.19㎡,/
整租·冬晴园 2室1厅 南/北,海淀-西北旺-冬晴园,7800 元/月,82.00㎡,/
整租·融创亦庄壹号 3室1厅 南/北,亦庄开发区-通州其它-融创亦庄壹号,7000 元/月,89.00㎡,/
整租·同仁园 2室1厅 南,精选,6090 元/月,丰台-刘家窑-同仁园,/
整租·静安里 1室1厅 南,朝阳-国展-静安里,5600 元/月,40.00㎡,/
整租·旭辉26街区 2室1厅 复式 西,精选,4000 元/月,顺义-顺义其它-旭辉26街区,/
整租·东平里 1室1厅 东南,精选,3560 元/月,朝阳-首都机场-东平里,/
整租·泰禾中央广场 4室1厅 复式 南,精选,7500 元/月,大兴-黄村火车站-泰禾中央广场,/
整租·万科天地 1室1厅 北,精选,3990 元/月,大兴-义和庄-万科天地,/
整租·7克拉 1房间 南,丰台-马家堡-7克拉,4200 元/月,43.11㎡,/
整租·青塔南里 1室1厅 南,精选,5430 元/月,丰台-青塔-青塔南里,/
整租·西辛南区 2室1厅 南,精选,4630 元/月,顺义-顺义城-西辛南区,/
整租·中建红杉溪谷 4室2厅 跃层 南/北,通州-潞苑-中建红杉溪谷,18500 元/月,207.45㎡,/
整租·密云二中家属楼 2室2厅 南/北,密云-鼓楼街道-密云二中家属楼,2000 元/月,55.48㎡,/
整租·上奥世纪中心 1房间 东,昌平-西三旗-上奥世纪中心,4600 元/月,46.53㎡,/
整租·易构空间 1室1厅 东,精选,6690 元/月,朝阳-大望路-易构空间,/
整租·中粮祥云国际生活区 3室2厅 南/北,顺义-后沙峪-中粮祥云国际生活区,42000 元/月,144.03㎡,/
整租·华贸城 1室1厅 东北,朝阳-北苑-华贸城,6200 元/月,62.00㎡,/
整租·首开知语城 2室1厅 南,精选,9860 元/月,朝阳-望京-首开知语城,/
整租·金融街融汇 2室1厅 南/北,大兴-天宫院-金融街融汇,4300 元/月,76.00㎡,/
整租·珠江拉维小镇 1室1厅 东,精选,4160 元/月,通州-潞苑-珠江拉维小镇,/
整租·新华街三里 2室1厅 北,精选,6030 元/月,丰台-看丹桥-新华街三里,/
整租·罗庄南里 2室1厅 南,精选,8560 元/月,海淀-知春路-罗庄南里,/
整租·博客雅居 1室1厅 东,精选,5430 元/月,亦庄开发区-亦庄-博客雅居,/
整租·新新天第 1室0厅 北,丰台-马家堡-新新天第,4000 元/月,35.00㎡,/
整租·首开龙湖天璞 2室1厅 西,朝阳-东坝-首开龙湖天璞,7800 元/月,89.89㎡,/
整租·泰禾中央广场 2室1厅 复式 北,大兴-黄村火车站-泰禾中央广场,4400 元/月,58.12㎡,/
整租·政馨园一区 1室1厅 北,精选,5930 元/月,丰台-宋家庄-政馨园一区,/
整租·国融国际 1室1厅 西,精选,4690 元/月,亦庄开发区-[亦庄]-国融国际,/
整租·育新花园北里 1室0厅 南,大兴-大兴新机场洋房别墅区-育新花园北里,1700 元/月,53.00㎡,/
整租·中铁诺德·逸府 3室1厅 南/北,丰台-花乡-中铁诺德·逸府,8500 元/月,89.00㎡,/
整租·东方雅苑 1室0厅 南,朝阳-大望路-东方雅苑,5500 元/月,45.00㎡,/
整租·烟树园 1室1厅 西,海淀-世纪城-烟树园,7500 元/月,64.85㎡,/
整租·东升园 1室1厅 东/西,海淀-五道口-东升园,7200 元/月,48.06㎡,/
整租·红莲南里 2室1厅 南/北,西城-马连道-红莲南里,6800 元/月,53.00㎡,/
整租·时代国际嘉园 1室0厅 北,朝阳-双井-时代国际嘉园,6500 元/月,40.00㎡,/
整租·京达国际公寓 3室2厅 东,朝阳-农展馆-京达国际公寓,50000 元/月,350.00㎡,/
整租·都市经典家园 1室1厅 西,精选,6530 元/月,朝阳-甘露园-都市经典家园,/
整租·宣颐家园 1室1厅 北,精选,4460 元/月,大兴-旧宫-宣颐家园,/
整租·月季园 2室1厅 南,精选,4060 元/月,通州-武夷花园-月季园,/
整租·朝阳无限 1室1厅 北,精选,6290 元/月,朝阳-甘露园-朝阳无限,/
整租·建新南区 2室1厅 南/北,顺义-顺义城-建新南区,3000 元/月,64.00㎡,/
整租·国仕汇 2室1厅 南,昌平-回龙观-国仕汇,4800 元/月,74.00㎡,/
整租·中仓小区 2室1厅 南,精选,4290 元/月,通州-万达-中仓小区,/
整租·小南庄社区 2室1厅 南,精选,8760 元/月,海淀-苏州桥-小南庄社区,/
整租·北官厅胡同 2室1厅 南,精选,7690 元/月,东城-东直门-北官厅胡同,/
整租·临河悦园5号院  2室1厅 南,顺义-顺义其它-临河悦园5号院,2700 元/月,75.00㎡,/
整租·易构空间 1室0厅 北,朝阳-大望路-易构空间,6000 元/月,48.61㎡,/
整租·永泰园新地标 3室2厅 西南,海淀-清河-永泰园新地标,8400 元/月,118.00㎡,/
整租·运河湾南区 2室1厅 南/北,通州-武夷花园-运河湾南区,5750 元/月,90.00㎡,/
整租·金地仰山西区 4室2厅 南/北,大兴-高米店-金地仰山西区,9400 元/月,139.00㎡,/
整租·扣钟北里西区 1室1厅 西,精选,7130 元/月,西城-阜成门-扣钟北里西区,/
整租·当代北辰悦MOMA 3房间 南,顺义-顺义城-当代北辰悦MOMA,4000 元/月,76.00㎡,/
整租·教场口6号院 1室1厅 南/北,西城-六铺炕-教场口6号院,7500 元/月,51.25㎡,/
整租·玺源台 2室1厅 东南,西城-广安门-玺源台,9500 元/月,66.88㎡,/
整租·融创亦庄壹号 3室1厅 南/北,亦庄开发区-通州其它-融创亦庄壹号,6600 元/月,89.00㎡,/
整租·安德路47号院 2室1厅 东/西,东城-安定门-安德路47号院,7800 元/月,60.00㎡,/
整租·车公庄北里 3室1厅 南/西,西城-车公庄-车公庄北里,12500 元/月,78.90㎡,/
整租·保利金泉 2室2厅 西南,朝阳-亚运村-保利金泉,13000 元/月,116.00㎡,/
整租·双龙南里 2室1厅 南/北,朝阳-华威桥-双龙南里,5500 元/月,66.92㎡,/
整租·世界侨商中心 1室0厅 北,精选,3900 元/月,通州-北关-世界侨商中心,/
整租·世界侨商中心 1室1厅 LOFT 北,精选,4300 元/月,通州-北关-世界侨商中心,/
整租·世界侨商中心 1室0厅 西北,精选,3800 元/月,通州-北关-世界侨商中心,/
整租·首开万科城市之光 3房间 复式 东,精选,4000 元/月,通州-通州其它-首开万科城市之光,/
整租·旭辉26街区 1室1厅 复式 南/北,精选,3200 元/月,顺义-顺义其它-旭辉26街区,/
整租·西便门东里 1室1厅 南,西城-木樨地-西便门东里,7300 元/月,40.00㎡,/
整租·水郡长安 5室2厅 南/北,朝阳-双桥-水郡长安,22000 元/月,286.00㎡,/
整租·首开万科城市之光 3房间 复式 西,精选,4200 元/月,通州-通州其它-首开万科城市之光,/
整租·IDCITY艾迪城 3房间 LOFT 东,精选,6600 元/月,顺义-后沙峪-IDCITY艾迪城,/
整租·旭辉26街区 1室1厅 LOFT 北,精选,3300 元/月,顺义-顺义其它-旭辉26街区,/
整租·新龙大厦 2房间 西,昌平-西三旗-新龙大厦,11600 元/月,60.00㎡,/
整租·智地香蜜湾 5房间 东,顺义-后沙峪-智地香蜜湾,11000 元/月,75.63㎡,/
整租·新光大中心 1房间 LOFT 北,精选,4700 元/月,通州-北关-新光大中心,/
整租·和平街十一区 2室1厅 南,精选,8260 元/月,朝阳-和平里-和平街十一区,/
整租·10AM新坐标 1室1厅 西,精选,5390 元/月,朝阳-方庄-10AM新坐标,/
整租·翠微北里 3室1厅 南/西/北,海淀-公主坟-翠微北里,9700 元/月,87.80㎡,/
整租·金地悦景台 2室1厅 东,顺义-后沙峪-金地悦景台,5500 元/月,88.61㎡,/
整租·世界侨商中心 2房间 复式 北,精选,4500 元/月,通州-北关-世界侨商中心,/
整租·长岛澜桥 5室2厅 东/南/北,朝阳-中央别墅区-长岛澜桥,48000 元/月,375.00㎡,/
整租·彩俸北区 3室1厅 南/北,顺义-顺义其它-彩俸北区,4100 元/月,107.00㎡,/
整租·南门仓胡同 2室1厅 北,精选,8930 元/月,东城-朝阳门内-南门仓胡同,/
整租·中国铁建广场 1房间 北,朝阳-北苑-中国铁建广场,9600 元/月,56.40㎡,/
整租·鸿坤七星长安 3房间 南,门头沟-滨河西区-鸿坤七星长安,4500 元/月,69.86㎡,/
整租·御景春天A区 1室1厅 西,精选,5190 元/月,丰台-科技园区-御景春天A区,/
整租·万科天地 2室1厅 LOFT 南,大兴-义和庄-万科天地,4200 元/月,43.64㎡,/
整租·远洋五里春秋 3室1厅 南/北,石景山-石景山其它-远洋五里春秋,5600 元/月,90.00㎡,/
整租·中国铁建广场 2房间 西南,朝阳-北苑-中国铁建广场,12600 元/月,75.90㎡,/
整租·明天第一城7号院 3房间 东北,朝阳-立水桥-明天第一城7号院,6500 元/月,83.00㎡,/
整租·万泉新新家园 1室1厅 东,海淀-万柳-万泉新新家园,7500 元/月,55.39㎡,/
整租·前进花园牡丹苑 3室1厅 复式 南/北,顺义-顺义城-前进花园牡丹苑,4800 元/月,94.00㎡,/
整租·中国铁建顺鑫汇 2房间 西,顺义-顺义其它-中国铁建顺鑫汇,3200 元/月,48.26㎡,/
整租·金隅可乐 2房间 西南,精选,5130 元/月,朝阳-双桥-金隅可乐,/
整租·福润四季B区 2室1厅 东/南/北,朝阳-东坝-福润四季B区,5500 元/月,75.26㎡,/
整租·中粮祥云国际生活区 2房间 复式 南,顺义-后沙峪-中粮祥云国际生活区,6000 元/月,57.18㎡,/
整租·银领国际 1室1厅 北,精选,8090 元/月,朝阳-望京-银领国际,/
整租·劲松八区 2室1厅 东/南/西,朝阳-劲松-劲松八区,6600 元/月,61.42㎡,/
整租·丰侨公寓 1室1厅 北,西城-金融街-丰侨公寓,11000 元/月,57.08㎡,/
整租·苹果社区南区 1室1厅 北,朝阳-双井-苹果社区南区,7500 元/月,55.28㎡,/
整租·天龙华鹤 1房间 东南,丰台-科技园区-天龙华鹤,5500 元/月,68.20㎡,/
整租·兴隆家园 3室1厅 南/北,朝阳-高碑店-兴隆家园,11000 元/月,139.35㎡,/
整租·泰禾·北京公馆 1室1厅 西南/西北,朝阳-四惠-泰禾·北京公馆,18000 元/月,87.64㎡,/
整租·亲亲我家 4室2厅 复式 南/北,大兴-旧宫-亲亲我家,18000 元/月,181.00㎡,/
整租·文晟家园 2室1厅 南/北,海淀-西三旗-文晟家园,8200 元/月,90.00㎡,/
整租·顺源里 2室1厅 南/北,朝阳-亮马桥-顺源里,7700 元/月,57.00㎡,/
整租·莫奈花园 4室4厅 南/北,顺义-后沙峪-莫奈花园,29500 元/月,300.00㎡,/
整租·丽都壹号 3室2厅 南/北,朝阳-酒仙桥-丽都壹号,12800 元/月,119.00㎡,/
整租·万科天竺悦城 3室1厅 南/北,顺义-中央别墅区-万科天竺悦城,17000 元/月,120.00㎡,/
整租·赵公口小区 2室1厅 东/西,丰台-木樨园-赵公口小区,5200 元/月,68.74㎡,/
整租·月亮城堡 3室2厅 南/北,通州-武夷花园-月亮城堡,13000 元/月,227.53㎡,/
整租·六里桥北里 2室1厅 西南,丰台-六里桥-六里桥北里,6500 元/月,73.60㎡,/
整租·六营门小区 3室1厅 南/北,丰台-万源-六营门小区,4400 元/月,73.10㎡,/
整租·合生滨江帝景一期 2室2厅 南/北,通州-玉桥-合生滨江帝景一期,5300 元/月,89.40㎡,/
整租·德胜门西大街74号 1室1厅 南,精选,7730 元/月,西城-西直门-德胜门西大街74号,/
整租·复兴路46号院 2室1厅 南/北,海淀-玉泉路-复兴路46号院,6800 元/月,65.00㎡,/
整租·和悦春风 3室1厅 南/北,大兴-大兴新机场-和悦春风,3500 元/月,82.86㎡,/
整租·北影小区 2室1厅 南,精选,9890 元/月,海淀-北太平庄-北影小区,/
整租·林肯公园B区 5房间 西南/北,亦庄开发区-亦庄-林肯公园B区,24000 元/月,228.00㎡,/
整租·大兴金茂悦 2室1厅 南,大兴-大兴其它-大兴金茂悦,3500 元/月,80.00㎡,/
整租·田家园小区 2室1厅 南/北,房山-窦店-田家园小区,1900 元/月,73.02㎡,/
整租·百合园 3室2厅 南/北,密云-鼓楼街道-百合园,2000 元/月,92.08㎡,/
整租·富力华庭苑西区 3室1厅 东南,大兴-大兴新机场-富力华庭苑西区,3600 元/月,89.00㎡,/
整租·长丰园一区 2室1厅 南/北,大兴-科技园区-长丰园一区,4300 元/月,86.00㎡,/
整租·流星花园三区 2室1厅 南,精选,8430 元/月,昌平-回龙观-流星花园三区,/
整租·田家园小区 3室1厅 南/北,房山-窦店-田家园小区,2500 元/月,114.27㎡,/
整租·林大北路9号院 2室1厅 西,精选,8590 元/月,海淀-学院路-林大北路9号院,/
整租·天通苑五区 3室1厅 南/北,昌平-天通苑-天通苑五区,12000 元/月,160.00㎡,/
整租·黄平路8号院 2室1厅 南/北,昌平-西三旗-黄平路8号院,6300 元/月,60.89㎡,/
整租·流星花园三区 3室1厅 南/北,昌平-回龙观-流星花园三区,7000 元/月,109.00㎡,/
整租·芍药居北里 2室1厅 北,精选,10160 元/月,朝阳-芍药居-芍药居北里,/
整租·周家庄中路19号院 2室1厅 东/南/北,朝阳-十里河-周家庄中路19号院,7300 元/月,88.00㎡,/
整租·丰侨公寓 1室1厅 北,精选,14000 元/月,西城-金融街-丰侨公寓,/
整租·国美第一城3号院 2室1厅 东,精选,7990 元/月,朝阳-朝青-国美第一城3号院,/
整租·丽景馨居 2室1厅 东,朝阳-甘露园-丽景馨居,7000 元/月,82.00㎡,/
整租·人定湖西里 2室1厅 南,精选,7930 元/月,西城-六铺炕-人定湖西里,/
整租·梨花园 2室1厅 南,精选,5160 元/月,通州-梨园-梨花园,/
整租·古城环卫楼 3室1厅 南/北,石景山-杨庄-古城环卫楼,5500 元/月,73.89㎡,/
整租·大兴金茂悦 3室2厅 南/北,大兴-大兴其它-大兴金茂悦,3500 元/月,88.63㎡,/
整租·龙山跃 3房间 东/西,昌平-南邵-龙山跃,4800 元/月,73.00㎡,/
整租·定慧北里 1室1厅 南,精选,6690 元/月,海淀-定慧寺-定慧北里,/
整租·双井北里 2室1厅 东北,精选,8090 元/月,朝阳-[双井]-双井北里,/
整租·圣馨家园 2室1厅 南/西,朝阳-西坝河-圣馨家园,10000 元/月,97.00㎡,/
整租·冠城大通百旺府 3室2厅 南/北,海淀-海淀北部新区-冠城大通百旺府,14000 元/月,113.00㎡,/
整租·长阳半岛怡和路1号院 2室1厅 南,精选,5230 元/月,房山-长阳-长阳半岛怡和路1号院,/
整租·砂轮厂宿舍 2室1厅 南/北,海淀-清河-砂轮厂宿舍,6600 元/月,66.40㎡,/
整租·台湖金茂悦 3室1厅 南,通州-通州其它-台湖金茂悦,6000 元/月,89.00㎡,/
整租·观音寺小区 2室1厅 南/北,大兴-观音寺-观音寺小区,3400 元/月,70.65㎡,/
整租·澜花语岸 1室1厅 南/北,通州-潞苑-澜花语岸,3600 元/月,64.00㎡,/
整租·青塔东里10号院 2室1厅 东,精选,6030 元/月,丰台-青塔-青塔东里10号院,/
整租·华业东方玫瑰D区 2室1厅 南,精选,5730 元/月,通州-临河里-华业东方玫瑰D区,/
整租·华清嘉园 1室1厅 东南,海淀-五道口-华清嘉园,9800 元/月,71.71㎡,/
整租·炫特嘉园三期 1室1厅 北,精选,5760 元/月,朝阳-石佛营-炫特嘉园三期,/
整租·北京城建琨廷北区 2室1厅 南/北,房山-窦店-北京城建琨廷北区,2800 元/月,89.07㎡,/
整租·首开畅心园 1室1厅 南,精选,5560 元/月,朝阳-常营-首开畅心园,/
整租·鲁能钓鱼台美高梅公馆 2房间 北,精选,8030 元/月,丰台-刘家窑-鲁能钓鱼台美高梅公馆,/
整租·金域华府二期 2室1厅 南,昌平-回龙观-金域华府二期,7900 元/月,80.00㎡,/
整租·华贸城 3室2厅 东/南/北,朝阳-北苑-华贸城,9500 元/月,95.25㎡,/
整租·建邦礼仕阁 1室0厅 西,西城-月坛-建邦礼仕阁,11500 元/月,56.52㎡,/
整租·华贸公寓 2室1厅 南/北,朝阳-CBD-华贸公寓,18000 元/月,130.00㎡,/
整租·国风长安 2室1厅 东/西,丰台-青塔-国风长安,6500 元/月,87.66㎡,/
整租·梅园甲 2室1厅 南/北,海淀-马连洼-梅园甲,9000 元/月,105.00㎡,/
整租·骚子营 3室1厅 南/北,海淀-颐和园-骚子营,8200 元/月,75.00㎡,/
整租·京洲世家 2室1厅 南/北,通州-九棵树(家乐福)-京洲世家,3800 元/月,93.35㎡,/
整租·中建玲珑山 2房间 西,精选,5830 元/月,朝阳-双桥-中建玲珑山,/
整租·金台北街 2室1厅 南,朝阳-红庙-金台北街,7000 元/月,59.23㎡,/
整租·大羊宜宾胡同35号院 2室1厅 南/北,东城-建国门内-大羊宜宾胡同35号院,7900 元/月,57.65㎡,/
整租·荣上居 1室1厅 北,精选,7390 元/月,海淀-中关村-荣上居,/
整租·光华里社区 2室1厅 东,朝阳-CBD-光华里社区,8100 元/月,50.98㎡,/
整租·汽南小区 2室1厅 东,精选,8390 元/月,西城-木樨地-汽南小区,/
整租·中海城紫鑫阁 1室1厅 南,朝阳-成寿寺-中海城紫鑫阁,5600 元/月,48.00㎡,/
整租·驼房营南里 1室1厅 东,精选,5730 元/月,朝阳-酒仙桥-驼房营南里,/
整租·卡尔生活馆 3室2厅 南/北,亦庄开发区-亦庄-卡尔生活馆,10000 元/月,136.78㎡,/
整租·加州水郡三期 4室2厅 南,房山-长阳-加州水郡三期,5200 元/月,145.00㎡,/
整租·珠江四季悦城 6房间 北,通州-通州其它-珠江四季悦城,6000 元/月,91.00㎡,/
整租·富力尚悦居E区 5房间 西南,通州-通州其它-富力尚悦居E区,5500 元/月,108.00㎡,/
整租·慧华苑 车库,昌平-回龙观-慧华苑,2500 元/月,19.84㎡,/
整租·朝阳无限 1室1厅 北,精选,6660 元/月,朝阳-甘露园-朝阳无限,/
整租·新光大中心 1室0厅 西北,精选,4600 元/月,通州-北关-新光大中心,/
整租·首开中晟广场 2房间 南,精选,3390 元/月,顺义-马坡-首开中晟广场,/
整租·东直门北大街 2室1厅 东,东城-东直门-东直门北大街,8300 元/月,61.00㎡,/
整租·金港国际 2室1厅 南,精选,12330 元/月,朝阳-大望路-金港国际,/
整租·柏林爱乐一期 3房间 南,精选,7690 元/月,朝阳-常营-柏林爱乐一期,/
整租·灵通观 2室1厅 南,精选,7760 元/月,朝阳-建国门外-灵通观,/
整租·八场宿舍 1室1厅 南,精选,4660 元/月,石景山-鲁谷-八场宿舍,/
整租·北重西厂 2室1厅 南/北,石景山-鲁谷-北重西厂,4700 元/月,73.00㎡,/
整租·西罗园三区 1室1厅 西,精选,5090 元/月,丰台-西罗园-西罗园三区,/
整租·花家地小区 2室1厅 南/北,朝阳-望京-花家地小区,7000 元/月,55.59㎡,/
整租·新怡家园 3室2厅 南/北,东城-崇文门-新怡家园,28000 元/月,161.00㎡,/
整租·慈云寺 1室1厅 南,精选,4660 元/月,朝阳-红庙-慈云寺,/
整租·交大东路56号院 2室1厅 西,精选,8760 元/月,海淀-西直门-交大东路56号院,/
整租·福怡苑 2室1厅 南/北,朝阳-定福庄-福怡苑,4900 元/月,72.56㎡,/
整租·北京财富中心 1室1厅 东北,朝阳-东大桥-北京财富中心,16800 元/月,94.78㎡,/
整租·住总万科橙 3室1厅 南/北,大兴-天宫院-住总万科橙,5100 元/月,93.28㎡,/
整租·东亚三环 1室1厅 北,精选,5860 元/月,丰台-马家堡-东亚三环,/
整租·花园新区 2室2厅 南/北,海淀-清河-花园新区,9500 元/月,126.00㎡,/
整租·索家坟 1室1厅 南,精选,6330 元/月,海淀-新街口-索家坟,/
整租·壹线国际 2室1厅 东,精选,7090 元/月,朝阳-四惠-壹线国际,/
整租·金港国际 1室1厅 东,精选,6630 元/月,朝阳-大望路-金港国际,/
整租·丽景长安 3室2厅 南/北,门头沟-冯村-丽景长安,7500 元/月,128.00㎡,/
整租·北窑地 2室1厅 南,精选,7230 元/月,朝阳-大山子-北窑地,/
整租·北师大院内 2室1厅 南/北,海淀-小西天-北师大院内,9500 元/月,60.80㎡,/
整租·新光大中心 1室0厅 北,精选,4600 元/月,通州-北关-新光大中心,/
整租·西辛南区 2室1厅 南,精选,4360 元/月,顺义-顺义城-西辛南区,/
整租·华富丽苑 3室1厅 东/西,丰台-青塔-华富丽苑,6300 元/月,99.00㎡,/
